epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,4563.19,1.09969,0.53111,1.03059,0.89002,0.81566,0.88324,0.59234,1.14597,0.5216,1.05122,0.00208,0.00208,0.00208
42,4672.07,1.09646,0.52825,1.03271,0.88732,0.81964,0.8846,0.59221,1.14467,0.51924,1.05359,0.001882,0.001882,0.001882
43,4781.02,1.09008,0.52067,1.02813,0.88852,0.81804,0.88268,0.59204,1.14564,0.51994,1.05287,0.001684,0.001684,0.001684
44,4889.79,1.08615,0.51104,1.02668,0.89318,0.81679,0.88449,0.59272,1.14596,0.51813,1.05413,0.001486,0.001486,0.001486
45,4998.86,1.08279,0.50832,1.02593,0.8997,0.8117,0.88447,0.59321,1.14391,0.51813,1.05351,0.001288,0.001288,0.001288
46,5107.76,1.07899,0.50276,1.02462,0.89255,0.81474,0.88298,0.59313,1.14369,0.52032,1.05378,0.00109,0.00109,0.00109
47,5216.96,1.07342,0.49405,1.02308,0.89364,0.81367,0.88242,0.59329,1.14344,0.5206,1.05472,0.000892,0.000892,0.000892
48,5326.25,1.06657,0.4896,1.01991,0.89134,0.81435,0.88179,0.59244,1.14403,0.5236,1.05444,0.000694,0.000694,0.000694
49,5435.36,1.06237,0.48536,1.01443,0.89061,0.81819,0.88231,0.59302,1.14414,0.52259,1.05343,0.000496,0.000496,0.000496
50,5544.36,1.05791,0.47827,1.01552,0.89203,0.81823,0.88266,0.59375,1.14386,0.52182,1.05338,0.000298,0.000298,0.000298
